id_kraj,kraj,czy_kraj,Kontynent
6649664,Ogó³em,FALSE,
7276956,"Niew.kr.i teryt, p. handl.i mil",FALSE,
7276957,Niewyszczególnione kr. i teryt.,FALSE,
7277327,Pe³ne morze,FALSE,
7277329,"Zap. i zaop. statków, niezn.arm.",FALSE,
7277330,QQ w ramach handlu z UE,FALSE,
7277331,QQ w ramach handlu z kr.trzecimi,FALSE,
7277333,QU w ramach handlu z kr.trzecimi,FALSE,
7277396,QU w ramach handlu z UE,FALSE,
7277399,QX w ramach handlu z UE,FALSE,
6649670,Antarktyda,FALSE,Antarktyda
6649673,Wallis i Futuna,TRUE,Oceania
6649679,Papua-Nowa Gwinea,TRUE,Oceania
6649681,Wyspy Marshalla,TRUE,Oceania
6649684,Mariany Pó³nocne,TRUE,Oceania
6649687,Nowa Zelandia,TRUE,Oceania
6649689,Nowa Kaledonia,TRUE,Oceania
6649692,Guam,TRUE,Oceania
6649695,Polinezja Francuska,TRUE,Oceania
6649696,Fid¿i,TRUE,Oceania
6649699,Australia,TRUE,Oceania
6649701,Zambia,TRUE,Afryka
6649702,Burkina Faso,TRUE,Afryka
6649703,Tanzania,TRUE,Afryka
6649704,Egipt,TRUE,Afryka
6649705,Uganda,TRUE,Afryka
6649706,Tunezja,TRUE,Afryka
6649707,Togo,TRUE,Afryka
6649709,Sudan Po³udniowy,TRUE,Afryka
6649710,Sudan,TRUE,Afryka
6649712,Zimbabwe,TRUE,Afryka
6649714,Somalia,TRUE,Afryka
6649715,Sierra Leone,TRUE,Afryka
6649716,Seszele,TRUE,Afryka
6649717,Senegal,TRUE,Afryka
6649721,Rwanda,TRUE,Afryka
6649724,Nigeria,TRUE,Afryka
6649725,Niger,TRUE,Afryka
6649726,Namibia,TRUE,Afryka
6649727,Mozambik,TRUE,Afryka
6649728,Maroko,TRUE,Afryka
6649729,Mauritius,TRUE,Afryka
6649730,Mauretania,TRUE,Afryka
6649731,Mali,TRUE,Afryka
6649732,Malawi,TRUE,Afryka
6649733,Madagaskar,TRUE,Afryka
6649734,Libia,TRUE,Afryka
6649735,Liberia,TRUE,Afryka
6649737,Kenia,TRUE,Afryka
6649738,Wybrze¿e Koœci S³oniowej,TRUE,Afryka
6649739,Gwinea,TRUE,Afryka
6649740,Ghana,TRUE,Afryka
6649742,Gabon,TRUE,Afryka
6649743,D¿ibuti,TRUE,Afryka
6649744,Erytrea,TRUE,Afryka
6649745,Etiopia,TRUE,Afryka
6649746,Gwinea Równikowa,TRUE,Afryka
6649747,Benin,TRUE,Afryka
6649749,Kongo,TRUE,Afryka
6649750,Demokratyczna Republika Konga,TRUE,Afryka
6649752,Komory,TRUE,Afryka
6649753,Czad,TRUE,Afryka
6649754,Republika Œrodkowoafrykañska,TRUE,Afryka
6649756,Kamerun,TRUE,Afryka
6649757,Burundi,TRUE,Afryka
6649759,Botswana,TRUE,Afryka
6649760,Angola,TRUE,Afryka
6649762,Ceuta,TRUE,Afryka
6649763,Algieria,TRUE,Afryka
6649764,Wenezuela,TRUE,Ameryka Po³udniowa
6649765,Urugwaj,TRUE,Ameryka Po³udniowa
6649766,Surinam,TRUE,Ameryka Po³udniowa
6649767,Peru,TRUE,Ameryka Po³udniowa
6649768,Paragwaj,TRUE,Ameryka Po³udniowa
6649769,"Bonaire, Sint Eustatius i Saba",TRUE,Ameryka Po³udniowa
6649770,Aruba,TRUE,Ameryka Po³udniowa
6649772,Gujana,TRUE,Ameryka Po³udniowa
6649775,Falklandy,TRUE,Ameryka Po³udniowa
6649776,Ekwador,TRUE,Ameryka Po³udniowa
6649777,Kolumbia,TRUE,Ameryka Po³udniowa
6649778,Chile,TRUE,Ameryka Po³udniowa
6649779,Brazylia,TRUE,Ameryka Po³udniowa
6649780,Boliwia,TRUE,Ameryka Po³udniowa
6649781,Argentyna,TRUE,Ameryka Po³udniowa
6649782,Wyspy Dziewicze Stanów Zjednoczonych,TRUE,Ameryka Pó³nocna
6649783,Stany Zjednoczone,TRUE,Ameryka Pó³nocna
6649785,Trynidad i Tobago,TRUE,Ameryka Pó³nocna
6649787,Saint  Pierre i Miquelon,TRUE,Ameryka Pó³nocna
6649789,Saint Lucia,TRUE,Ameryka Pó³nocna
6649791,Saint Kitts i Nevis,TRUE,Ameryka Pó³nocna
6649794,Panama,TRUE,Ameryka Pó³nocna
6649795,Nikaragua,TRUE,Ameryka Pó³nocna
6649799,Meksyk,TRUE,Ameryka Pó³nocna
6649801,Jamajka,TRUE,Ameryka Pó³nocna
6649802,Honduras,TRUE,Ameryka Pó³nocna
6649803,Haiti,TRUE,Ameryka Pó³nocna
6649804,Gwatemala,TRUE,Ameryka Pó³nocna
6649807,Grenlandia,TRUE,Ameryka Pó³nocna
6649808,Salwador,TRUE,Ameryka Pó³nocna
6649809,Dominika,TRUE,Ameryka Pó³nocna
6649810,Kuba,TRUE,Ameryka Pó³nocna
6649811,Kostaryka,TRUE,Ameryka Pó³nocna
6649812,Kajmany,TRUE,Ameryka Pó³nocna
6649813,Kanada,TRUE,Ameryka Pó³nocna
6649814,Brytyjskie Wyspy Dziewicze,TRUE,Ameryka Pó³nocna
